row,column
117,296
89,357
70,267
134,364
84,317
60,339
123,408
179,413
191,346
152,288
137,313
168,318
160,338
124,327
119,353
89,335
106,384
70,385
67,409
52,378
43,313
58,303
86,293
125,266
95,235
70,240
76,104
108,9
112,38
152,35
187,99
167,118
167,79
190,48
239,56
271,105
288,118
329,138
269,139
127,137
91,134
54,134
35,86
46,257
32,299
47,349
71,368
104,420
108,454
137,457
166,469
208,438
224,450
204,303
222,310
195,317
204,339
207,365
177,379
153,395
147,380
253,295
196,254
254,257
286,268
323,264
349,260
340,293
302,292
301,331
297,409
279,452
236,418
213,466
173,507
108,485
132,481
151,496
97,471
71,468
69,425
51,408
76,449
57,461
98,443
69,483
82,489
209,483
288,445
251,412
249,365
299,366
265,377
270,344
319,399
353,373
328,318
386,341
364,402
329,344
278,319
253,333
240,361
225,290
184,274
175,301
331,45
308,50
294,64
278,42
226,29
209,67
172,29
159,56
128,62
135,78
81,58
74,30
68,39
68,71
48,59
27,60
59,91
60,108
18,235
13,302
11,338
20,275
29,351
41,405
37,382
34,455
25,414
41,428
26,439
53,433
52,440
78,435
96,412
83,386
227,337
228,396
211,404
185,363
154,363
143,343
146,428
446,297
472,318
439,344
